request_id,num_generated_notes,generation_start_tick,round_trip_time,total_network_latency,server_request_arrival_time,server_response_output_time,server_preprocess_start_time,server_inference_start_time,server_inference_end_time,server_postprocess_start_time,server_processing_duration,preprocess_duration,inference_duration,postprocess_duration,generation_length_frames,prompt_length_ticks,experiment_name,experiment_duration
1,0,400,0.1817281270050443,0.1476416279911063,646341.794941144,646341.829027643,646341.795106236,646341.79668863,646341.826580836,646341.826588546,0.034086499013938,0.0015823940047994,0.0298922059591859,0.0024390969192609,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
2,0,400,0.5544718680030201,0.1574797289504204,646342.084262955,646342.481255094,646342.084399268,646342.085821869,646342.480796138,646342.480804128,0.3969921390525996,0.0014226009370759,0.394974269089289,0.0004509660648182,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
3,0,400,0.1801149300008546,0.1481224919843953,646342.731519041,646342.763511479,646342.731657514,646342.733191347,646342.763201974,646342.763209524,0.0319924380164593,0.0015338329831138,0.0300106270005926,0.0003019550349563,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
4,0,400,0.1813629280077293,0.1493625399889424,646343.014736719,646343.046737107,646343.014873171,646343.016582267,646343.046448433,646343.046455993,0.0320003880187869,0.0017090960172936,0.029866165947169,0.0002811140147969,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
5,0,400,0.1860217210196424,0.1542294370301533,646343.298021719,646343.329814003,646343.298153572,646343.299601654,646343.329505439,646343.329512879,0.031792283989489,0.0014480820391327,0.0299037849763408,0.0003011239459738,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
6,0,400,0.1840990240161772,0.1514856980356853,646343.582924774,646343.6155381,646343.583104576,646343.584722061,646343.615086734,646343.615093943,0.0326133259804919,0.0016174849588423,0.030364673002623,0.0004441570490598,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
7,0,400,0.1815385280060582,0.1496679029078222,646343.866354066,646343.898224691,646343.866490278,646343.867990481,646343.897926897,646343.897933977,0.0318706250982359,0.0015002029249444,0.0299364160746336,0.000290714087896,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
8,0,400,0.1821631269995123,0.1497777439653873,646344.148729131,646344.181114514,646344.148862513,646344.150341256,646344.180743958,646344.180751048,0.0323853830341249,0.0014787430409342,0.0304027019301429,0.0003634659806266,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
9,0,400,0.1817662270041182,0.1498489109799266,646344.430736991,646344.462654307,646344.430869633,646344.432352156,646344.462357713,646344.462365213,0.0319173160241916,0.0014825230464339,0.0300055569969117,0.0002890940522775,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
10,3,400,0.1933027100167237,0.1498613890144042,646344.713700906,646344.757142227,646344.713862138,646344.715739078,646344.756792031,646344.756799051,0.0434413210023194,0.0018769400194287,0.0410529529908672,0.0003431760706007,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
11,0,400,0.1798749300069175,0.1480211449670605,646345.005538226,646345.037392011,646345.005668668,646345.007176291,646345.037069285,646345.037076605,0.031853785039857,0.001507623004727,0.0298929940909147,0.0003154060104861,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
12,0,400,0.1796688300091773,0.1478321650065481,646345.285746168,646345.317582833,646345.28587371,646345.287365193,646345.317218868,646345.317225898,0.0318366650026291,0.0014914830680936,0.029853674932383,0.0003569349646568,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
13,0,400,0.1805947300163097,0.1488393459585495,646345.567457414,646345.599212798,646345.567583406,646345.569021698,646345.598862632,646345.598869622,0.0317553840577602,0.0014382919762283,0.0298409339739009,0.0003431760706007,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
14,0,400,0.1810711279977113,0.1492966150399297,646345.848607231,646345.880381744,646345.848739713,646345.850258936,646345.88006415,646345.88007139,0.0317745129577815,0.0015192230930551,0.0298052139114588,0.0003103540511801,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
15,0,400,0.1801748290017713,0.1483508430246729,646346.129359091,646346.161183077,646346.129498734,646346.130952716,646346.160828611,646346.160835721,0.0318239859770983,0.0014539819676429,0.0298758950084447,0.0003473560791462,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
16,0,400,0.1795576299773529,0.1477220349479466,646346.409049387,646346.440884982,646346.409180719,646346.410677311,646346.440548826,646346.440556006,0.0318355950294062,0.001496591954492,0.0298715149983763,0.0003289759624749,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
17,0,400,0.1848170229932293,0.1530664989259094,646346.694235883,646346.725986407,646346.694363906,646346.695786107,646346.725663033,646346.725670403,0.0317505240673199,0.0014222009340301,0.0298769259825348,0.0003160040359944,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
18,0,400,0.1806790289992932,0.1485298810584936,646346.975682878,646347.007832026,646346.97582048,646346.977426254,646347.007495982,646347.007505002,0.0321491479407995,0.0016057739267125,0.0300697280326858,0.0003270240267738,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
19,0,400,0.1849001229857094,0.1531457999371923,646347.25984637,646347.291600693,646347.259978612,646347.261453865,646347.291287089,646347.291294159,0.0317543230485171,0.0014752530260011,0.029833224019967,0.0003065339988097,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
20,0,400,0.1869156199973076,0.1545451569836586,646347.548109455,646347.580479918,646347.548284837,646347.549838252,646347.580066961,646347.580076173,0.0323704630136489,0.0015534149715676,0.0302287089871242,0.0004037450999021,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
21,0,400,0.1957913060032297,0.1636024860490579,646347.845041733,646347.877230553,646347.845182035,646347.846913562,646347.876893648,646347.876901277,0.0321888199541717,0.0017315270379185,0.0299800859065726,0.0003292759647592,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
22,0,400,0.182379226986086,0.1505522140942048,646348.126330523,646348.158157536,646348.126461585,646348.127876056,646348.157773231,646348.157780491,0.0318270128918811,0.0014144709566608,0.0298971750307828,0.0003770448965951,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
23,0,400,0.1839809239900205,0.1521424589736852,646348.412100379,646348.443938844,646348.412228991,646348.413661553,646348.443605789,646348.443612779,0.0318384650163352,0.0014325618976727,0.0299442360410466,0.0003260649973526,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
24,0,400,0.1816081279830541,0.1498479050060268,646348.693308828,646348.725069051,646348.69343362,646348.694854461,646348.724714315,646348.724721066,0.0317602229770273,0.0014208409702405,0.0298598540248349,0.00034798507113,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
25,0,400,0.2141745789849665,0.1816919740231242,646348.976101569,646349.008584174,646348.976238321,646348.977745194,646349.008140117,646349.008147557,0.0324826049618423,0.0015068729408085,0.0303949230583384,0.0004366169450804,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
26,0,400,0.1806331289990339,0.1484119089145679,646349.289796572,646349.322017792,646349.289980675,646349.291510999,646349.321580655,646349.321588106,0.032221220084466,0.0015303239924833,0.0300696560880169,0.0004296860424801,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
27,0,400,0.1839186240104027,0.1521440110518597,646349.572794058,646349.604568671,646349.572917849,646349.574376492,646349.604249966,646349.604257196,0.031774612958543,0.0014586430042982,0.029873474035412,0.000311475014314,1,384,andrew_latency_test_GL1_PL384,57.46229362487793
